id,order,score,weight,weight,color,label
Vin5 sSig,1,100,1,3,#5E4EA1,Vineyards / 5 senses / Sight
Vin5 sHea,2,70,1,3,#5E4EA1,Vineyards / 5 senses / Hearing
Vin5 sTou,3,80,0.33,1,#5E4EA1,Vineyards / 5 senses / Touch
Vin5 sSme,4,80,1,3,#5E4EA1,Vineyards / 5 senses / Smell
Vin5 s6th,5,100,1,3,#5E4EA1,Vineyards / 5 senses / 6th sense
VinLuxHer,6,50,1,3,#5E4EA1,Vineyards / Luxury / Heritage
VinLuxBra,7,30,1,3,#5E4EA1,Vineyards / Luxury / Brand
VinLuxPle,8,60,0.33,1,#5E4EA1,Vineyards / Luxury / Pleasure
VinLuxTra,9,70,1,3,#5E4EA1,Vineyards / Luxury / Transcendence
VinLuxUni,10,80,1,3,#5E4EA1,Vineyards / Luxury / Unique
VinLuxBes,11,80,0.67,2,#5E4EA1,Vineyards / Luxury / Bespoke
VinLuxCra,12,80,0.67,2,#5E4EA1,Vineyards / Luxury / Craftman
VinLuxBea,13,90,1,3,#5E4EA1,Vineyards / Luxury / Beauty
VinTouSus,14,90,1,3,#5E4EA1,Vineyards / Tourism / Sustainable
VinTouAut,15,90,1,3,#5E4EA1,Vineyards / Tourism / Authenticity
VinTouDis,16,90,0.67,2,#5E4EA1,Vineyards / Tourism / Discovery
VinTouCom,17,60,0.67,2,#5E4EA1,Vineyards / Tourism / Comfort
VinTouFre,18,40,1,3,#5E4EA1,Vineyards / Tourism / Freedom
VinTouEdu,19,80,0.33,1,#5E4EA1,Vineyards / Tourism / Educationnal
VinCliNeo,20,100,0.33,1,#5E4EA1,Vineyards / Client typology / Neophyte
VinCliHob,21,100,0.67,2,#5E4EA1,Vineyards / Client typology / Hobbyist
VinCliAfi,22,100,1,3,#5E4EA1,Vineyards / Client typology / Aficionado
VinSerWel,23,90,0.33,1,#5E4EA1,Vineyards / Service / Welcome
VinSerSpe,24,80,0.33,1,#5E4EA1,Vineyards / Service / Speech
VinSerLoy,25,80,0.33,1,#5E4EA1,Vineyards / Service / Loyalty program
Tas5 sSig,26,80,1,3,#E1514B,Tasting / 5 senses / Sight
Tas5 sHea,27,50,1,3,#E1514B,Tasting / 5 senses / Hearing
Tas5 sTas,28,80,1,3,#E1514B,Tasting / 5 senses / Taste
Tas5 sTou,29,30,0.67,2,#E1514B,Tasting / 5 senses / Touch
Tas5 sSme,30,80,0.67,2,#E1514B,Tasting / 5 senses / Smell
Tas5 s6th,31,80,1,3,#E1514B,Tasting / 5 senses / 6th sense
TasLuxHer,32,50,0.67,2,#E1514B,Tasting / Luxury / Heritage
TasLuxBra,33,70,0.67,2,#E1514B,Tasting / Luxury / Brand
TasLuxPle,34,60,1,3,#E1514B,Tasting / Luxury / Pleasure
TasLuxTra,35,40,1,3,#E1514B,Tasting / Luxury / Transcendence
TasLuxUni,36,50,1,3,#E1514B,Tasting / Luxury / Unique
TasLuxBes,37,40,0.67,2,#E1514B,Tasting / Luxury / Bespoke
TasLuxCra,38,40,1,3,#E1514B,Tasting / Luxury / Craftman
TasLuxBea,39,50,1,3,#E1514B,Tasting / Luxury / Beauty
TasTouSus,40,50,0.33,1,#E1514B,Tasting / Tourism / Sustainable
TasTouAut,41,70,0.67,2,#E1514B,Tasting / Tourism / Authenticity
TasTouDis,42,60,0.33,1,#E1514B,Tasting / Tourism / Discovery
TasTouCom,43,90,1,3,#E1514B,Tasting / Tourism / Comfort
TasTouFre,44,90,0.33,1,#E1514B,Tasting / Tourism / Freedom
TasTouEdu,45,50,1,3,#E1514B,Tasting / Tourism / Educationnal
TasCliNeo,46,100,0.33,1,#E1514B,Tasting / Client typology / Neophyte
TasCliHob,47,90,0.67,2,#E1514B,Tasting / Client typology / Hobbyist
TasCliAfi,48,70,1,3,#E1514B,Tasting / Client typology / Aficionado
TasSerWel,49,100,1,3,#E1514B,Tasting / Service / Welcome
TasSerSpe,50,40,1,3,#E1514B,Tasting / Service / Speech
TasSerLoy,51,50,0.33,1,#E1514B,Tasting / Service / Loyalty program
Ser5 sSig,52,50,0.33,1,#EAF195,Service / 5 senses / Sight
Ser5 sHea,53,70,0.33,1,#EAF195,Service / 5 senses / Hearing
Ser5 s6th,54,20,1,3,#EAF195,Service / 5 senses / 6th sense
SerLuxBra,55,50,0.33,1,#EAF195,Service / Luxury / Brand
SerLuxPle,56,40,0.33,1,#EAF195,Service / Luxury / Pleasure
SerLuxTra,57,40,0.33,1,#EAF195,Service / Luxury / Transcendence
SerLuxUni,58,40,0.33,1,#EAF195,Service / Luxury / Unique
SerLuxBes,59,40,1,3,#EAF195,Service / Luxury / Bespoke
SerLuxCra,60,30,1,3,#EAF195,Service / Luxury / Craftman
SerLuxBea,61,30,0.67,2,#EAF195,Service / Luxury / Beauty
SerTouAut,62,100,0.67,2,#EAF195,Service / Tourism / Authenticity
SerTouDis,63,70,0.33,1,#EAF195,Service / Tourism / Discovery
SerTouFre,64,100,0.33,1,#EAF195,Service / Tourism / Freedom
SerTouEdu,65,50,1,3,#EAF195,Service / Tourism / Educationnal
SerCliNeo,66,100,0.33,1,#EAF195,Service / Client typology / Neophyte
SerCliHob,67,80,0.67,2,#EAF195,Service / Client typology / Hobbyist
SerCliAfi,68,40,1,3,#EAF195,Service / Client typology / Aficionado
SerSerWel,69,100,1,3,#EAF195,Service / Service / Welcome
SerSerSpe,70,60,1,3,#EAF195,Service / Service / Speech
SerSerLoy,71,60,0.67,2,#EAF195,Service / Service / Loyalty program
Oth5 sSig,72,100,1,3,#4D9DB4,Other / 5 senses / Sight
Oth5 sHea,73,90,1,3,#4D9DB4,Other / 5 senses / Hearing
Oth5 sTas,74,70,0.33,1,#4D9DB4,Other / 5 senses / Taste
Oth5 sTou,75,10,0.33,1,#4D9DB4,Other / 5 senses / Touch
Oth5 sSme,76,30,1,3,#4D9DB4,Other / 5 senses / Smell
Oth5 s6th,77,90,1,3,#4D9DB4,Other / 5 senses / 6th sense
OthLuxHer,78,60,1,3,#4D9DB4,Other / Luxury / Heritage
OthLuxBra,79,60,1,3,#4D9DB4,Other / Luxury / Brand
OthLuxPle,80,80,0.33,1,#4D9DB4,Other / Luxury / Pleasure
OthLuxTra,81,80,1,3,#4D9DB4,Other / Luxury / Transcendence
OthLuxUni,82,80,1,3,#4D9DB4,Other / Luxury / Unique
OthLuxBes,83,90,0.67,2,#4D9DB4,Other / Luxury / Bespoke
OthLuxCra,84,100,0.67,2,#4D9DB4,Other / Luxury / Craftman
OthLuxBea,85,70,1,3,#4D9DB4,Other / Luxury / Beauty
OthTouSus,86,90,1,3,#4D9DB4,Other / Tourism / Sustainable
OthTouAut,87,90,1,3,#4D9DB4,Other / Tourism / Authenticity
OthTouDis,88,100,0.67,2,#4D9DB4,Other / Tourism / Discovery
OthTouCom,89,50,0.67,2,#4D9DB4,Other / Tourism / Comfort
OthTouFre,90,60,1,3,#4D9DB4,Other / Tourism / Freedom
OthTouEdu,91,80,0.33,1,#4D9DB4,Other / Tourism / Educationnal
OthCliNeo,92,10,0.33,1,#4D9DB4,Other / Client typology / Neophyte
OthCliHob,93,20,0.67,2,#4D9DB4,Other / Client typology / Hobbyist
OthCliAfi,94,30,1,3,#4D9DB4,Other / Client typology / Aficionado
OthSerWel,95,10,0.33,1,#4D9DB4,Other / Service / Welcome
OthSerSpe,96,10,0.33,1,#4D9DB4,Other / Service / Speech
OthSerLoy,97,10,0.33,1,#4D9DB4,Other / Service / Loyalty program
